event_id,observed_at,latitude,longitude,elevation_m,aspect,avalanche_problem,observed_outcome,confidence,source,source_ref,license_scope,review_status,reviewer_id,reviewed_at,reviewer_notes
event_id_value_0,2026-03-24T13:13:35.688901+00:00,31.2500,78.1200,3200,0,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_1,2026-03-25T13:13:35.688901+00:00,31.2600,78.1300,3300,30,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_2,2026-03-26T13:13:35.688901+00:00,31.2700,78.1400,3400,60,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_3,2026-03-27T13:13:35.688901+00:00,31.2800,78.1500,3500,90,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_4,2026-03-28T13:13:35.688901+00:00,31.2900,78.1600,3600,120,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_5,2026-03-29T13:13:35.688901+00:00,31.3000,78.1700,3700,150,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_6,2026-03-30T13:13:35.688901+00:00,31.3100,78.1800,3800,180,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_7,2026-03-31T13:13:35.688901+00:00,31.3200,78.1900,3900,210,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_8,2026-04-01T13:13:35.688901+00:00,31.3300,78.2000,4000,240,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
event_id_value_9,2026-04-02T13:13:35.688901+00:00,31.3400,78.2100,4100,270,wind_slab,avalanche_observed,0.82,synthetic_validation_fixture,file:raw_sources/historical_avalanche_events_synthetic_source.txt#sha256=1be7e50b6663c298dd36a5d49b067992e946f603a76fe5a5116eb0b3c800be84,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
