station_id,region_key,latitude,longitude,elevation_m,active_date_range,source_ref,license_scope,review_status,reviewer_id,reviewed_at,reviewer_notes
station_id_value_0,region_key_value_0,31.2500,78.1200,3200,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,region_key_value_1,31.2600,78.1300,3300,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,region_key_value_2,31.2700,78.1400,3400,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,region_key_value_0,31.2800,78.1500,3500,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,region_key_value_1,31.2900,78.1600,3600,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,region_key_value_2,31.3000,78.1700,3700,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,region_key_value_0,31.3100,78.1800,3800,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,region_key_value_1,31.3200,78.1900,3900,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,region_key_value_2,31.3300,78.2000,4000,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,region_key_value_0,31.3400,78.2100,4100,2026-02-22/2026-05-22,file:raw_sources/station_metadata_synthetic_source.txt#sha256=84a4f13d1efa7d5767f30ec50baae79590944438cc935b9e5cdc825b0f0cbddf,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
