station_id,observed_at,air_temp_c,precipitation_mm,snowfall_cm,snow_depth_cm,wind_speed_ms,wind_dir_deg,source_ref,license_scope,review_status,reviewer_id,reviewed_at,reviewer_notes
station_id_value_0,2026-03-24T13:13:35.688901+00:00,-8.0,0.0,0.0,80.0,4.0,0,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,2026-03-25T13:13:35.688901+00:00,-7.0,1.0,2.0,81.0,5.0,30,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,2026-03-26T13:13:35.688901+00:00,-6.0,2.0,4.0,82.0,6.0,60,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,2026-03-27T13:13:35.688901+00:00,-5.0,3.0,6.0,83.0,7.0,90,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,2026-03-28T13:13:35.688901+00:00,-4.0,4.0,8.0,84.0,8.0,120,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,2026-03-29T13:13:35.688901+00:00,-3.0,5.0,10.0,85.0,9.0,150,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,2026-03-30T13:13:35.688901+00:00,-2.0,6.0,12.0,86.0,10.0,180,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,2026-03-31T13:13:35.688901+00:00,-1.0,0.0,14.0,87.0,11.0,210,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,2026-04-01T13:13:35.688901+00:00,0.0,1.0,16.0,88.0,4.0,240,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,2026-04-02T13:13:35.688901+00:00,1.0,2.0,0.0,89.0,5.0,270,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_0,2026-04-03T13:13:35.688901+00:00,2.0,3.0,2.0,90.0,6.0,300,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-03T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,2026-04-04T13:13:35.688901+00:00,3.0,4.0,4.0,91.0,7.0,330,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-04T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,2026-04-05T13:13:35.688901+00:00,-8.0,5.0,6.0,92.0,8.0,0,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-05T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,2026-04-06T13:13:35.688901+00:00,-7.0,6.0,8.0,93.0,9.0,30,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-06T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,2026-04-07T13:13:35.688901+00:00,-6.0,0.0,10.0,94.0,10.0,60,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-07T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,2026-04-08T13:13:35.688901+00:00,-5.0,1.0,12.0,95.0,11.0,90,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-08T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,2026-04-09T13:13:35.688901+00:00,-4.0,2.0,14.0,96.0,4.0,120,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-09T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,2026-04-10T13:13:35.688901+00:00,-3.0,3.0,16.0,97.0,5.0,150,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-10T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,2026-04-11T13:13:35.688901+00:00,-2.0,4.0,0.0,98.0,6.0,180,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-11T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,2026-04-12T13:13:35.688901+00:00,-1.0,5.0,2.0,99.0,7.0,210,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-12T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_0,2026-04-13T13:13:35.688901+00:00,0.0,6.0,4.0,100.0,8.0,240,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-13T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,2026-04-14T13:13:35.688901+00:00,1.0,0.0,6.0,101.0,9.0,270,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-14T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,2026-04-15T13:13:35.688901+00:00,2.0,1.0,8.0,102.0,10.0,300,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-15T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,2026-04-16T13:13:35.688901+00:00,3.0,2.0,10.0,103.0,11.0,330,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-16T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,2026-04-17T13:13:35.688901+00:00,-8.0,3.0,12.0,104.0,4.0,0,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-17T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,2026-04-18T13:13:35.688901+00:00,-7.0,4.0,14.0,105.0,5.0,30,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-18T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,2026-04-19T13:13:35.688901+00:00,-6.0,5.0,16.0,106.0,6.0,60,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-19T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,2026-04-20T13:13:35.688901+00:00,-5.0,6.0,0.0,107.0,7.0,90,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-20T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,2026-04-21T13:13:35.688901+00:00,-4.0,0.0,2.0,108.0,8.0,120,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-21T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,2026-04-22T13:13:35.688901+00:00,-3.0,1.0,4.0,109.0,9.0,150,file:raw_sources/weather_station_observations_synthetic_source.txt#sha256=d6861633743d1d9ad7ac2d3cd4c52ab2549dcacdae0d4d61c00c774856ba452b,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-22T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
